Initiative Name,Initiative Type,Country,Lead Organization,Budget (USD million),Start Year,Targeted Completion Year,Expected Impact,Actual Impact,Number of Jobs Created,Funding Source,Public Awareness Level (%),Technology Used,Geographical Coverage (sq km),Annual Progress Report,Community Engagement Level (%),Policy Alignment,Emission Reduction per Year (tonnes),Renewable Energy Capacity Added (MW),Green Infrastructure Developed (km)
Reforestation Initiative in UK #1,Reforestation Initiative,UK,Earth Guardians,1910,2022,2031,0.16,0.33,12392,Government,63,Bioenergy,422306,yes,73,National,1214344,23782,53
Waste Management Plan in USA #2,Waste Management Plan,USA,Clean Energy Foundation,181,2018,2023,0.34,0.24,40631,Private Sector,88,None,72351,no,84,International,869855,769,889
Sustainable Agriculture Program in France #3,Sustainable Agriculture Program,France,Sustainable Future Org,1277,2010,2023,0.82,0.96,20521,Government,91,Solar,243584,yes,77,International,309063,46562,963
Sustainable Agriculture Program in Brazil #4,Sustainable Agriculture Program,Brazil,Eco Innovation Lab,1821,2010,2019,0.19,0.08,80769,Private Sector,87,Solar,429425,yes,53,National,526556,20046,733
Sustainable Agriculture Program in Brazil #5,Sustainable Agriculture Program,Brazil,Global Renewable Group,585,2015,2020,0.91,0.37,28253,Private Sector,95,Hydropower,215891,no,54,International,1690437,16268,624
Water Conservation Project in Germany #6,Water Conservation Project,Germany,Green Growth Initiative,701,2012,2027,0.3,0.89,73181,Government,57,Geothermal,191624,no,81,International,147856,40645,797
Waste Management Plan in China #7,Waste Management Plan,China,Climate Action Network,1354,2011,2018,0.8,0.34,17932,Private Sector,83,Wind,123902,yes,93,International,1184877,11854,257
Sustainable Agriculture Program in Brazil #8,Sustainable Agriculture Program,Brazil,Earth Guardians,1865,2018,2028,1,0.59,53405,International Aid,58,Solar,17387,no,64,International,1168238,20045,893
Waste Management Plan in Germany #9,Waste Management Plan,Germany,Eco Innovation Lab,786,2018,2024,0.89,0.34,13350,Government,53,Geothermal,310449,yes,66,National,137091,41485,89
Green Infrastructure Development in UK #10,Green Infrastructure Development,UK,Earth Guardians,1879,2010,2017,0.8,0.66,54987,International Aid,87,Hydropower,242024,yes,52,National,738645,27856,933
Green Infrastructure Development in UK #11,Green Infrastructure Development,UK,Green Growth Initiative,669,2011,2020,0.6,0.6,29417,International Aid,73,None,360452,yes,97,International,1890319,37234,783
Green Infrastructure Development in France #12,Green Infrastructure Development,France,Eco Innovation Lab,1003,2023,2037,0.8,0.11,34365,Private Sector,95,Solar,323102,no,87,National,338679,26873,408
Waste Management Plan in Brazil #13,Waste Management Plan,Brazil,Green Earth Alliance,62,2016,2030,0.86,0.77,61199,International Aid,59,Hydropower,86474,yes,72,National,1657110,33782,103
